name,formatted_address,lat,lon,wheelchair,categories
Stop 125: Clarendon Street Junction,"Stop 125: Clarendon Street Junction, Normanby Road, Southbank VIC 3207, Australia",-37.8256555,144.9566486,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 130: Albert Road,"Stop 130: Albert Road, Clarendon Street, South Melbourne VIC 3205, Australia",-37.8389559,144.9633409,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 137: Harold Street,"Stop 137: Harold Street, Danks Street, Middle Park VIC 3206, Australia",-37.8513046,144.959226,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 22: Toorak Road,"Stop 22: Toorak Road, St Kilda Road, Melbourne VIC 3004, Australia",-37.8354361,144.9750754,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 112: Lygon Street,"Stop 112: Lygon Street, Elgin Street, Carlton VIC 3053, Australia",-37.7970718,144.9664716,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 112: Lygon Street,"Stop 112: Lygon Street, Elgin Street, Carlton VIC 3053, Australia",-37.7970809,144.967042,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 6: Town Hall,"Stop 6: Town Hall, Collins Street, Melbourne VIC 3000, Australia",-37.8155346,144.9662721,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 10: Victoria Street,"Stop 10: Victoria Street, Peel Street, North Melbourne VIC 3051, Australia",-37.8053945,144.9560523,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 10: Victoria Street,"Stop 10: Victoria Street, Peel Street, North Melbourne VIC 3051, Australia",-37.8056727,144.956039,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
"Stop 4: Flinders Street Station, Elizabeth Street","Stop 4: Flinders Street Station, Elizabeth Street, Flinders Street, Melbourne VIC 3000, Australia",-37.8182424,144.9647133,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
"Stop 4: Flinders Street Station, Elizabeth Street","Stop 4: Flinders Street Station, Elizabeth Street, Flinders Street, Melbourne VIC 3000, Australia",-37.8184098,144.964255,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 8: Spring Street,"Stop 8: Spring Street, Collins Street, Melbourne VIC 3000, Australia",-37.8134217,144.9735526,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 14: Royal Melbourne Hospital,"Stop 14: Royal Melbourne Hospital, Flemington Road, North Melbourne VIC 3051, Australia",-37.7998582,144.9552578,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 14: Royal Melbourne Hospital,"Stop 14: Royal Melbourne Hospital, Flemington Road, Melbourne VIC 3000, Australia",-37.8000815,144.9555945,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop D18: Victoria Harbour Docklands,"Stop D18: Victoria Harbour Docklands, Collins Street, Docklands VIC 3008, Australia",-37.8207869,144.9420846,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop D18: Victoria Harbour Docklands,"Stop D18: Victoria Harbour Docklands, Collins Street, Docklands VIC 3008, Australia",-37.8208545,144.9420598,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
Stop 129: Melbourne Sports and Aquatic Centre,"Stop 129: Melbourne Sports and Aquatic Centre, Western Bike Path, Albert Park VIC 3206, Australia",-37.8452996,144.96163,unknown,"public_transport, public_transport.tram, wheelchair, wheelchair.yes"
