Unnamed: 0,_id,name,female,male,wheelchair,operator,baby_facil,lat,lon
85,110,Westfield Sydney Level 5,False,False,True,"Sydney, NSW",False,-33.8703858,151.2090761
86,111,Myer Sydney,False,False,True,"Sydney, NSW",False,-33.870451,151.2071595
87,112,Westfield Sydney Level 5,False,False,True,"Sydney, NSW",False,-33.8703858,151.2090761
88,113,Westfield Sydney,False,False,True,"Sydney, NSW",False,-33.8703858,151.2090761
89,114,Westfield Sydney Level 1,False,False,True,"Sydney, NSW",False,-33.8703858,151.2090761
90,115,Cohen Park,False,False,True,"Annandale, NSW",False,-33.87613439,151.16949319
91,116,Mid City Centre,False,False,True,"Sydney, NSW",False,-33.8697357,151.208244
92,117,Queen Victoria Building,False,False,True,"Sydney, NSW",False,-33.87179464,151.20675922
93,118,Stockland Piccadilly Centre,False,False,True,"Sydney, NSW",False,-33.8715506,151.2083056
94,119,Strand Arcade,False,False,True,"Sydney, NSW",False,-33.86941296,151.20759505
95,120,Kings Cross Library,False,False,True,"Potts Point, NSW",False,-33.8739654,151.223391
96,121,David Jones - Market Street,False,False,True,"Sydney, NSW",False,-33.87080936,151.20990939
97,122,Mid City Shopping Centre,False,False,True,"Sydney, NSW",False,-33.86972093,151.20812677
98,123,Victoria Park,False,False,True,"Chippendale, NSW",False,-33.88513165,151.19408798
99,124,Wulaba Park,False,False,True,"Waterloo, NSW",False,-33.90213257,151.21057254
100,125,Central Station Grand Concourse,False,False,True,"Haymarket, NSW",False,-33.8822503,151.20590625
101,126,Central Station Grand Concourse,False,False,True,"Sydney, NSW",False,-33.88328349,151.20526252
102,127,Market City - Ground floor Paddys Market,False,False,True,"Sydney, NSW",False,-33.87993428,151.20356424
103,128,Westfield Sydney Level 2,False,False,True,"Sydney, NSW",False,-33.8706274,151.2075286
104,129,Roslyn Packer Theatre Ground Floor,False,False,True,"Millers Point, NSW",False,-33.85700808,151.20435159
105,130,Roslyn Packer Theatre Level 2,False,False,True,"Millers Point, NSW",False,-33.85690558,151.20453785
106,131,Harbourside Shopping Centre,False,False,True,"Pyrmont, NSW",False,-33.87103854,151.19859197
107,132,Broadway Shopping Centre - Level 1,False,False,True,"Glebe, NSW",False,-33.88368354,151.1947815
108,133,Broadway Shopping Centre - Lower ground floor,False,False,True,"Glebe, NSW",False,-33.88371917,151.19480296
109,134,Broadway Shopping Centre - Level 3,False,False,True,"Glebe, NSW",False,-33.88373698,151.19474932
110,135,The Galeries,False,False,True,"Sydney, NSW",False,-33.8721421,151.20786064
111,136,Federation Valley,False,False,True,"Centennial Park, NSW",False,-33.89427063,151.23693765
112,137,East Village Shopping Centre,False,False,True,"Zetland, NSW",False,-33.90507766,151.21305954
113,138,Newtown Train Station,False,False,True,"Newtown, NSW",False,-33.89783001,151.17880797
114,139,Barangaroo Reserve,False,False,True,"Barangaroo, NSW",False,-33.85593105,151.20208706
115,140,The Cutaway,False,False,True,"Barangaroo, NSW",False,-33.85829404,151.20173199
116,141,400 Barangaroo Avenue,False,False,True,"Barangaroo, NSW",False,-33.86576092,151.201942
117,142,Jubilee Park Cricket Pavilion,False,False,True,"Glebe, NSW",False,-33.87502616,151.17887979
118,143,Fernside Skate Park,False,False,True,"Waterloo, NSW",False,-33.90226891,151.20543386
119,144,Erskineville Oval,False,False,True,"Erskineville, NSW",False,-33.90130735,151.19016998
120,145,Harry Jenson Centre,False,False,True,"Millers Point, NSW",False,-33.85873802,151.20426248
121,147,Childrens Wildplay Garden - Discovery Centre,False,False,True,"Centennial Park, NSW",False,-33.89834476,151.23914387
122,148,NSW Parliament House,False,False,True,"Sydney, NSW",False,-33.8674319,151.2127188
123,149,Pyrmont Bridge West,False,False,True,"Sydney, NSW",False,-33.87043728,151.19911496
124,150,Alexandria Park,False,False,True,"Alexandria, NSW",False,-33.9004501,151.19655506
125,151,Darling Square Library,False,False,True,"Surry Hills, NSW",False,-33.8775696,151.2027155
126,152,Sydney Park Cycle Track,False,False,True,"Alexandria, NSW",False,-33.90766999,151.18493026
127,153,Belleview House,False,False,True,"Glebe, NSW",False,-33.8716603,151.1847946
128,154,Tramsheds,False,False,True,"Forest Lodge, NSW",False,-33.8761055,151.1783737
129,155,Garraway Park Public Toilet,False,False,True,"Rosebery, NSW",False,-33.9134739,151.2103288
130,156,Gunyama Park Aquatic and Recreation Centre,False,False,True,"Zetland, NSW",False,-33.9085602,151.20784694
131,157,259 George Street,False,False,True,"Sydney, NSW",False,-33.86371015,151.2068884
132,158,Kings Cross Station,False,False,True,"Potts Point, NSW",False,-33.87426935,151.22261042
133,159,Australian Museum,False,False,True,"Darlinghurst, NSW",False,-33.8740146,151.213301
