lat,lon,name,type
-37.80581892901135,144.95574943791024,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79524247480688,144.94679942011058,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.77697303920087,144.94970928774234,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79836645634628,144.94459154393613,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.83884804951157,144.97654745650496,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79575422957359,144.95827417192294,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.812490976626215,144.95370614040704,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.81389991110184,144.95734143620206,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.81689800649741,144.9618384108209,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80067652245432,144.94582553723103,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.809284824359445,144.9519620478619,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.81157690963881,144.9563833753157,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79520927466022,144.92595354542772,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.8015270489316,144.9567967131992,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79731310405415,144.967955914192,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.80365281271108,144.9564163595527,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.84529099706835,144.9822703144505,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.8010481279157,144.9534576515341,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.82183999762308,144.91339835942287,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.79790612032,144.9705713015547,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.79820340709036,144.92045435450206,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.78776077785552,144.9253892133351,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.82565495609574,144.96017643000502,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.80461087215964,144.9691537208721,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.82359653225718,144.96952122205516,Sign - Public Transport 1 Panel Bus Stop Type 11,Bus
-37.80325110356248,144.92985291146388,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.79624528473142,144.9241544090541,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.79987669561117,144.9500539642789,Sign - Public Transport 1 Panel Bus Stop Type 1,Bus
-37.82204345713495,144.9612717467519,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.84636998833038,144.98481744885754,Sign - Public Transport 1 Panel Bus Stop Type 3,Bus
-37.810346877102674,144.96112338314165,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.79755334862349,144.97488727650415,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
-37.81842481335676,144.96889648633675,Sign - Public Transport 1 Panel Bus Stop Type 12,Bus
-37.81767597164006,144.95888238475013,Sign - Public Transport 1 Panel Bus Stop Type 8,Bus
