name,STOP_ID,type,lat,lon
Little Bourke St/Queen St (Melbourne City),20473,Bus,-37.8138,144.9603
Little Collins St/Queen St (Melbourne City),20475,Bus,-37.8157,144.9612
Casino/Southbank/Queens Bridge St (Southbank),20489,Bus,-37.8217,144.9613
Todd Rd/Wharf Rd (Port Melbourne),21056,Bus,-37.8279,144.9089
Nicholson St/Princes St (Carlton),22928,Bus,-37.7931,144.975
Kensington Rd/Dynon Rd (West Melbourne),2564,Bus,-37.8014,144.9144
330 Dynon Rd (West Melbourne),2565,Bus,-37.8019,144.9193
Freight Terminal/Dynon Rd (West Melbourne),2566,Bus,-37.8025,144.9246
Lloyd St/Dynon Rd (West Melbourne),2567,Bus,-37.8029,144.9278
Queensberry St/Lygon St (Carlton),2581,Bus,-37.8046,144.9664
Exhibition Building/Rathdowne St (Carlton),345,Bus,-37.8048,144.9691
Grattan St/Rathdowne St (Carlton),347,Bus,-37.8007,144.9698
Elgin St/Rathdowne St (Carlton),348,Bus,-37.7978,144.9703
Kay St/Rathdowne St (Carlton),349,Bus,-37.795,144.9708
Todd Rd/Wharf Rd (Port Melbourne),4875,Bus,-37.8278,144.9088
Wirraway Dr/Todd Rd (Port Melbourne),4876,Bus,-37.8262,144.9115
Pier 35/263 Lorimer (North) St (Port Melbourne),4877,Bus,-37.8247,144.9066
Bayside Ave/Lorimer St (Port Melbourne),4884,Bus,-37.8213,144.9164
Westside Ave/Lorimer St (Port Melbourne),4885,Bus,-37.8209,144.919
South Wharf 27/Lorimer St (Port Melbourne),4886,Bus,-37.8207,144.9247
Hall St/Lorimer St (Port Melbourne),4887,Bus,-37.8209,144.9271
Graham St/Lorimer St (Port Melbourne),4888,Bus,-37.8215,144.9303
Kraft Factory/Salmon St (Port Melbourne),4897,Bus,-37.8259,144.9223
Salmon St/Lorimer St (Port Melbourne),6536,Bus,-37.8209,144.9215
Exhibition Building/Rathdowne St (Carlton),655,Bus,-37.8043,144.9695
Pitt St/Rathdowne St (Carlton),659,Bus,-37.7959,144.9709
